INFO : 2018-01-29 23:54:09,243 : Searching files naming sales
DEBUG : 2018-01-29 23:55:58,587 : FOLDER::: d:/MisDocs\trabajos\concytec\20131113.ventanilla\ventanilla\web\created\tblSubvencionesxusuario 
DEBUG : 2018-01-29 23:55:58,665 : FOLDER::: d:/MisDocs\trabajos\concytec\20131113.ventanilla\ventanilla\web\postulantes\publicaciones 
DEBUG : 2018-01-29 23:55:59,056 : FOLDER::: d:/MisDocs\trabajos\institui\scss\foundation\components 
DEBUG : 2018-01-29 23:55:59,101 : FOLDER::: d:/MisDocs\trabajos\neco\indicadores\codigo\theme\plugins\input-mask\phone-codes 
DEBUG : 2018-01-29 23:55:59,353 : FOLDER::: d:/MisDocs\trabajos\sunass\sunass\pantallas__eps\obligaciones 
DEBUG : 2018-01-29 23:55:59,353 : FOLDER::: d:/MisDocs\trabajos\sunass\sunass\pantallas__eps\opciones 
DEBUG : 2018-01-29 23:55:59,353 : FOLDER::: d:/MisDocs\trabajos\sunass\sunass\pantallas__sunass\obligaciones 
DEBUG : 2018-01-29 23:55:59,446 : FOLDER::: d:/Musica\Shakira\Dónde Están los Ladrones- 
DEBUG : 2018-01-29 23:55:59,712 : FOLDER::: d:/respaldo\xampp\htdocs\ccmp\wp-content\themes\open\versiones 
DEBUG : 2018-01-29 23:55:59,759 : FOLDER::: d:/respaldo\xampp\htdocs\cepodo\tinymce\jscripts\tiny_mce\plugins\noneditable 
DEBUG : 2018-01-29 23:55:59,853 : FOLDER::: d:/respaldo\xampp\htdocs\cepodo_1\tinymce\jscripts\tiny_mce\plugins\noneditable 
DEBUG : 2018-01-29 23:55:59,915 : FOLDER::: d:/respaldo\xampp\htdocs\cepodo_2\tinymce\jscripts\tiny_mce\plugins\noneditable 
DEBUG : 2018-01-29 23:56:00,071 : FOLDER::: d:/respaldo\xampp\htdocs\tramibol\wp-content\plugins\facebook-twitter-google-plus-one-social-share-buttons-for-wordpress 
INFO : 2018-01-29 23:56:00,153 : Searching files with size 9968
DEBUG : 2018-01-29 23:56:07,838 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Dailys or Tasks\sales-7557.one (El 21-03-2017).one  ::::: SIZE::::: 9968
